,index,Image_url,Image,Text_Description
0,0,https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg|https://images-na.ssl-images-amazon.com/images/I/31hKM3cSoSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51WlHdwghfL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FsyLRBzwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270E320>,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete | Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards | $237.68"
1,1,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg|https://images-na.ssl-images-amazon.com/images/I/5166GD8OkXL.jpg|https://images-na.ssl-images-amazon.com/images/I/61o5S1VnaNL.jpg|https://images-na.ssl-images-amazon.com/images/I/61t4Q0rPYjL.jpg|https://images-na.ssl-images-amazon.com/images/I/61NASUAyqcL.jpg|https://images-na.ssl-images-amazon.com/images/I/51OMrADdyJL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x303 at 0x7BA8D270EC80>,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5) | Toys & Games | Learning & Education | Science Kits & Toys | $99.95"
2,2,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D4454820>,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate | Toys & Games | Arts & Crafts | Craft Kits | $34.99"
3,3,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg|https://images-na.ssl-images-amazon.com/images/I/51J6y3oM6VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x322 at 0x7BA8D4454EB0>,Guillow Airplane Design Studio with Travel Case Building Kit | Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits | $28.91
4,4,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x468 at 0x7BA8D4456380>,Woodstock- Collage 500 pc Puzzle | Toys & Games | Puzzles | Jigsaw Puzzles | $17.49
5,5,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=248x500 at 0x7BA8D46557B0>,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small | Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes | $29.12"
6,6,https://images-na.ssl-images-amazon.com/images/I/41RQ9OU%2BTPL.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D46556C0>,"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2) | Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons | $97.68"
7,7,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg|https://images-na.ssl-images-amazon.com/images/I/417B20oEehL.jpg|https://images-na.ssl-images-amazon.com/images/I/41J3bDg633L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hhnuGWwdL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=404x500 at 0x7BA8D4657FA0>,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch | Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films | $12.99"
8,8,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51MYg4EV2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tNGkk%2BQSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EkeBHHZuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FGAr81NXL.jpg|https://images-na.ssl-images-amazon.com/images/I/511xp-dN1nL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1HrN5Ag7JS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D46572B0>,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector | Toys & Games | Baby & Toddler Toys | $18.16"
9,9,https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=241x500 at 0x7BA8D270DD50>,"DC Cover Girls: Black Canary by Joëlle Jones Statue | Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues | $84.61"
